Th1;Th2;CN;Nodes;Edges;A;B;C;D;E;Metric
0.02;0.014;15;31;98;0.7948979;0.8164628;0.859603;0.77386314;0.30627;71.021935
0.021;0.014;15;31;98;0.77591944;0.8164628;0.85716146;0.7850146;0.30581006;70.807365
0.022;0.014;15;31;99;0.77592033;0.8142381;0.8581745;0.78500324;0.30571702;70.78107
0.023;0.014;15;31;99;0.77592033;0.8142381;0.8581745;0.78500324;0.30571702;70.78107
0.024;0.014;15;31;100;0.775768;0.81201345;0.85589737;0.7848606;0.30571702;70.68513
0.025;0.014;15;31;100;0.775768;0.81201345;0.85589737;0.7848606;0.30571702;70.68513
0.026;0.014;15;31;100;0.775768;0.81201345;0.85589737;0.7848606;0.30571702;70.68513
0.027;0.014;15;31;100;0.775768;0.81201345;0.85589737;0.7848606;0.30571702;70.68513
0.028;0.014;15;31;100;0.775768;0.81201345;0.85589737;0.7848606;0.30571702;70.68513
0.029;0.014;15;31;100;0.775768;0.81201345;0.85589737;0.7848606;0.30571702;70.68513
0.03;0.014;15;31;100;0.775768;0.81201345;0.85589737;0.7848606;0.30571702;70.68513
0.031;0.014;15;31;100;0.775768;0.81201345;0.85589737;0.7848606;0.30571702;70.68513
0.006;0.015;15;71;116;0.8378687;0.9671362;0.8648908;0.86328626;0.3608627;77.88089
0.007;0.015;15;65;121;0.8245431;0.9567765;0.87636536;0.8510967;0.34241897;77.02402
0.008;0.015;15;54;111;0.8010276;0.94017094;0.8594101;0.8244681;0.34155634;75.33266
0.009;0.015;15;51;106;0.79895246;0.9355742;0.85217595;0.8162169;0.3400072;74.85853
0.01;0.015;15;46;97;0.7564223;0.92687744;0.8450973;0.7999712;0.33898824;73.34713
0.011;0.015;15;44;100;0.7409574;0.91558444;0.8546087;0.7691192;0.3310035;72.225464
0.012;0.015;15;41;94;0.7625549;0.9080676;0.8480977;0.75998294;0.3403222;72.3805
0.013;0.015;15;36;92;0.7529446;0.879085;0.87580204;0.77700174;0.3030515;71.7577
0.014;0.015;15;34;87;0.7519145;0.87132347;0.8734968;0.7791923;0.3025026;71.56859
0.015;0.015;15;32;89;0.741346;0.84791666;0.8646565;0.7626859;0.30330467;70.39819
0.016;0.015;15;30;84;0.74892914;0.8357143;0.8647381;0.7680854;0.312885;70.60703
0.017;0.015;15;29;85;0.73027563;0.8199234;0.87550783;0.7783467;0.2775539;69.63215
0.018;0.015;15;29;82;0.7193817;0.82758623;0.8705965;0.7825736;0.27237067;69.45017
0.019;0.015;15;27;78;0.73456186;0.80888885;0.87342966;0.7705179;0.2677543;69.10305
0.02;0.015;15;27;76;0.75207216;0.81481475;0.87451327;0.78877765;0.26875478;69.97865
0.021;0.015;15;27;75;0.75207055;0.8177778;0.8733117;0.78867877;0.26875478;70.01187
0.022;0.015;15;27;75;0.75207055;0.8177778;0.8733117;0.78867877;0.26875478;70.01187
0.023;0.015;15;27;75;0.75207055;0.8177778;0.8733117;0.78867877;0.26875478;70.01187
0.024;0.015;15;27;77;0.7508193;0.8118518;0.87279326;0.77981186;0.26812017;69.66793
0.025;0.015;15;27;77;0.7508193;0.8118518;0.87279326;0.77981186;0.26812017;69.66793
0.026;0.015;15;27;77;0.7508193;0.8118518;0.87279326;0.77981186;0.26812017;69.66793
0.027;0.015;15;27;77;0.7508193;0.8118518;0.87279326;0.77981186;0.26812017;69.66793
0.028;0.015;15;27;77;0.7508193;0.8118518;0.87279326;0.77981186;0.26812017;69.66793
0.029;0.015;15;27;77;0.7508193;0.8118518;0.87279326;0.77981186;0.26812017;69.66793
0.03;0.015;15;27;77;0.7508193;0.8118518;0.87279326;0.77981186;0.26812017;69.66793
0.031;0.015;15;27;77;0.7508193;0.8118518;0.87279326;0.77981186;0.26812017;69.66793
0.006;0.016;15;57;94;0.78758657;0.9582137;0.8600207;0.8333929;0.3536915;75.85811
0.007;0.016;15;52;90;0.7848107;0.95076925;0.85208505;0.8306126;0.35413584;75.44827
0.008;0.016;15;49;87;0.7627089;0.945723;0.85949874;0.8162431;0.3595158;74.87379
0.009;0.016;15;47;92;0.7700146;0.9352246;0.8460949;0.8073369;0.36107087;74.39484
0.01;0.016;15;46;88;0.7724102;0.93577075;0.82682145;0.7978161;0.37730196;74.20241
0.011;0.016;15;43;87;0.768557;0.9256948;0.8490446;0.79539806;0.36767218;74.12734
0.012;0.016;15;39;89;0.72087485;0.90367293;0.85319567;0.7569243;0.3363424;71.4202
0.013;0.016;15;34;82;0.72606015;0.8805147;0.82487196;0.7818452;0.35878128;71.44147
0.014;0.016;15;29;76;0.7365807;0.8429119;0.8074385;0.7774376;0.35128587;70.313095
0.015;0.016;15;28;76;0.75282127;0.8296703;0.8160068;0.7779194;0.33460215;70.2204
0.016;0.016;15;27;78;0.7587862;0.80888885;0.8260524;0.7634212;0.3364268;69.87151
0.017;0.016;15;24;64;0.79587805;0.80303025;0.8400109;0.7906707;0.3317821;71.22744
0.018;0.016;15;25;61;0.73711216;0.8313044;0.86027294;0.7962443;0.3093282;70.685234
0.019;0.016;15;24;60;0.726512;0.8181818;0.86087805;0.7864764;0.30540043;69.948975
0.02;0.016;15;23;59;0.7566695;0.8033126;0.86028033;0.7834153;0.3095258;70.26407
0.021;0.016;15;23;58;0.76235276;0.80745333;0.85807127;0.77414787;0.317193;70.38436
0.022;0.016;15;23;59;0.7623534;0.8033126;0.8600351;0.7736599;0.31721535;70.33153
